Activity,Timestamp,Value
Clean Cycle Complete,7/31 5:02PM,-
Cycle Interrupted,7/31 5:00PM,-
Clean Cycle Complete,7/31 4:54PM,-
Clean Cycle In Progress,7/31 4:52PM,-
Pet Weight Recorded ,7/31 4:36PM,14.9 lbs
Pet Weight Recorded ,7/31 4:23PM,15.1 lbs
Pet Weight Recorded ,7/31 4:22PM,20.1 lbs
Pet Weight Recorded ,7/31 4:21PM,12.8 lbs
Cat Detected,7/31 4:14PM,-
Clean Cycle Complete,7/31 1:15PM,-
Pet Weight Recorded ,7/31 1:14PM,8.9 lbs
Cycle Interrupted,7/31 1:14PM,-
Pet Weight Recorded ,7/31 1:13PM,10.0 lbs
Cycle Interrupted,7/31 1:12PM,-
Clean Cycle In Progress,7/31 1:11PM,-
Cat Detected,7/31 12:56PM,-
Clean Cycle Complete,7/31 12:55PM,-
Clean Cycle In Progress,7/31 12:53PM,-
Pet Weight Recorded ,7/31 12:38PM,14.8 lbs
Cat Detected,7/31 12:37PM,-
Clean Cycle Complete,7/31 9:45AM,-
Pet Weight Recorded ,7/31 9:43AM,7.4 lbs
Cycle Interrupted,7/31 9:43AM,-
Clean Cycle In Progress,7/31 9:42AM,-
Pet Weight Recorded ,7/31 9:23AM,19.8 lbs
Pet Weight Recorded ,7/31 9:22AM,20.0 lbs
Cat Detected,7/31 9:21AM,-
Clean Cycle Complete,7/31 7:31AM,-
Clean Cycle In Progress,7/31 7:29AM,-
Pet Weight Recorded ,7/31 7:14AM,9.4 lbs
Cat Detected,7/31 7:12AM,-
Clean Cycle Complete,7/31 6:22AM,-
Clean Cycle In Progress,7/31 6:19AM,-
Pet Weight Recorded ,7/31 6:04AM,15.0 lbs
Cat Detected,7/31 6:03AM,-
Clean Cycle Complete,7/31 1:57AM,-
Clean Cycle In Progress,7/31 1:55AM,-
Pet Weight Recorded ,7/31 1:40AM,9.5 lbs
Cat Detected,7/31 1:37AM,-
Clean Cycle Complete,7/31 1:14AM,-
Clean Cycle In Progress,7/31 1:12AM,-
Pet Weight Recorded ,7/31 12:57AM,15.1 lbs
Pet Weight Recorded ,7/31 12:55AM,20.1 lbs
Pet Weight Recorded ,7/31 12:43AM,15.1 lbs
Pet Weight Recorded ,7/31 12:36AM,20.1 lbs
Pet Weight Recorded ,7/31 12:33AM,20.1 lbs
Cat Detected,7/31 12:32AM,-
Clean Cycle Complete,7/30 10:24PM,-
Clean Cycle In Progress,7/30 10:22PM,-
Pet Weight Recorded ,7/30 10:07PM,14.8 lbs
Cat Detected,7/30 10:07PM,-
Clean Cycle Complete,7/30 3:28PM,-
Clean Cycle In Progress,7/30 3:26PM,-
Pet Weight Recorded ,7/30 3:11PM,9.5 lbs
Cat Detected,7/30 3:08PM,-
Clean Cycle Complete,7/30 1:30PM,-
Cycle Interrupted,7/30 1:28PM,-
Cycle Interrupted,7/30 1:27PM,-
Clean Cycle In Progress,7/30 1:26PM,-
Pet Weight Recorded ,7/30 1:11PM,14.8 lbs
Cat Detected,7/30 1:09PM,-
Clean Cycle Complete,7/30 10:23AM,-
Clean Cycle In Progress,7/30 10:21AM,-
Pet Weight Recorded ,7/30 10:06AM,20.1 lbs
Pet Weight Recorded ,7/30 10:05AM,20.1 lbs
Pet Weight Recorded ,7/30 10:00AM,20.1 lbs
Pet Weight Recorded ,7/30 9:50AM,20.0 lbs
Pet Weight Recorded ,7/30 9:40AM,15.1 lbs
Pet Weight Recorded ,7/30 9:38AM,20.0 lbs
Pet Weight Recorded ,7/30 9:27AM,9.5 lbs
Cat Detected,7/30 9:27AM,-
Clean Cycle Complete,7/30 5:08AM,-
Cycle Interrupted,7/30 5:05AM,-
Clean Cycle In Progress,7/30 5:05AM,-
Pet Weight Recorded ,7/30 4:49AM,20.3 lbs
Pet Weight Recorded ,7/30 4:48AM,20.1 lbs
Cat Detected,7/30 4:47AM,-
Clean Cycle Complete,7/30 12:42AM,-
Cycle Interrupted,7/30 12:41AM,-
Clean Cycle In Progress,7/30 12:39AM,-
Pet Weight Recorded ,7/30 12:24AM,15.1 lbs
Cat Detected,7/30 12:21AM,-
Clean Cycle Complete,7/29 11:47PM,-
Pet Weight Recorded ,7/29 11:46PM,15.2 lbs
Cycle Interrupted,7/29 11:46PM,-
Clean Cycle In Progress,7/29 11:44PM,-
Pet Weight Recorded ,7/29 11:26PM,9.4 lbs
Cat Detected,7/29 11:23PM,-
Clean Cycle Complete,7/29 8:25PM,-
Clean Cycle In Progress,7/29 8:23PM,-
Pet Weight Recorded ,7/29 8:05PM,8.0 lbs
Clean Cycle Complete,7/29 7:32PM,-
Clean Cycle In Progress,7/29 7:30PM,-
Pet Weight Recorded ,7/29 7:15PM,15.0 lbs
Cat Detected,7/29 7:14PM,-
Clean Cycle Complete,7/29 5:06PM,-
Clean Cycle In Progress,7/29 5:03PM,-
Pet Weight Recorded ,7/29 4:48PM,15.1 lbs
Pet Weight Recorded ,7/29 4:42PM,15.0 lbs
Pet Weight Recorded ,7/29 4:40PM,9.2 lbs
Cat Detected,7/29 4:39PM,-
Clean Cycle Complete,7/29 10:26AM,-
Clean Cycle In Progress,7/29 10:24AM,-
Pet Weight Recorded ,7/29 10:09AM,15.0 lbs
Cat Detected,7/29 10:07AM,-
Clean Cycle Complete,7/29 9:54AM,-
Cycle Interrupted,7/29 9:52AM,-
Clean Cycle In Progress,7/29 9:52AM,-
Pet Weight Recorded ,7/29 9:37AM,15.0 lbs
Pet Weight Recorded ,7/29 9:33AM,9.5 lbs
Cat Detected,7/29 9:30AM,-
Clean Cycle Complete,7/29 9:09AM,-
Cycle Interrupted,7/29 9:08AM,-
Pet Weight Recorded ,7/29 9:08AM,15.1 lbs
Cycle Interrupted,7/29 9:07AM,-
Clean Cycle In Progress,7/29 9:05AM,-
Pet Weight Recorded ,7/29 8:50AM,20.2 lbs
Cat Detected,7/29 8:49AM,-
Clean Cycle Complete,7/29 8:36AM,-
Pet Weight Recorded ,7/29 8:35AM,7.2 lbs
