Activity,Timestamp,Value
Clean Cycle Complete,4/30 4:26PM,-
Clean Cycle In Progress,4/30 4:24PM,-
Cat Detected,4/30 4:09PM,-
Clean Cycle Complete,4/30 9:38AM,-
Clean Cycle In Progress,4/30 9:36AM,-
Cat Detected,4/30 9:20AM,-
Clean Cycle Complete,4/30 7:13AM,-
Cycle Interrupted,4/30 7:12AM,-
Clean Cycle In Progress,4/30 7:11AM,-
Clean Cycle Complete,4/29 1:47AM,-
Clean Cycle In Progress,4/29 1:44AM,-
Pet Weight Recorded ,4/29 1:29AM,14.7 lbs
Pet Weight Recorded ,4/29 1:25AM,14.7 lbs
Cat Detected,4/29 1:23AM,-
Clean Cycle Complete,4/28 10:22AM,-
Clean Cycle In Progress,4/28 10:20AM,-
Clean Cycle Complete,4/26 3:41PM,-
Clean Cycle Complete,4/26 3:39PM,-
Clean Cycle In Progress,4/26 3:36PM,-
Cat Detected,4/26 3:36PM,-
Clean Cycle Complete,4/24 2:31PM,-
Cycle Interrupted,4/24 2:30PM,-
Clean Cycle Complete,4/24 2:28PM,-
Clean Cycle In Progress,4/24 2:26PM,-
Cat Detected,4/24 2:25PM,-
Cat Detected,4/18 10:38AM,-
Clean Cycle Complete,4/18 8:24AM,-
Clean Cycle In Progress,4/18 8:22AM,-
Cat Detected,4/18 8:05AM,-
Clean Cycle Complete,4/18 8:05AM,-
Clean Cycle In Progress,4/18 8:03AM,-
Pet Weight Recorded ,4/18 7:47AM,6.6 lbs
Cat Detected,4/18 7:47AM,-
Clean Cycle Complete,4/17 9:46PM,-
Clean Cycle In Progress,4/17 9:44PM,-
Cat Detected,4/17 9:29PM,-
Clean Cycle Complete,4/17 12:29PM,-
Cycle Interrupted,4/17 12:29PM,-
Clean Cycle In Progress,4/17 12:27PM,-
Cat Detected,4/17 12:26PM,-
Clean Cycle Complete,4/17 12:02PM,-
Clean Cycle In Progress,4/17 12:00PM,-
Clean Cycle Complete,4/17 9:28AM,-
Clean Cycle In Progress,4/17 9:26AM,-
Pet Weight Recorded ,4/17 9:11AM,6.5 lbs
Cat Detected,4/17 9:10AM,-
Clean Cycle Complete,4/17 7:02AM,-
Clean Cycle In Progress,4/17 7:00AM,-
Cat Detected,4/17 6:44AM,-
Clean Cycle Complete,4/17 6:44AM,-
Cycle Interrupted,4/17 6:42AM,-
Clean Cycle In Progress,4/17 6:41AM,-
Pet Weight Recorded ,4/17 6:26AM,6.4 lbs
Pet Weight Recorded ,4/17 6:18AM,5.8 lbs
Cat Detected,4/17 6:16AM,-
Clean Cycle Complete,4/17 6:14AM,-
Clean Cycle In Progress,4/17 6:12AM,-
Pet Weight Recorded ,4/17 5:56AM,14.9 lbs
Pet Weight Recorded ,4/17 5:53AM,6.8 lbs
Cat Detected,4/17 5:51AM,-
Clean Cycle Complete,4/16 7:50AM,-
Clean Cycle In Progress,4/16 7:48AM,-
Pet Weight Recorded ,4/16 7:33AM,20.4 lbs
Cat Detected,4/16 7:30AM,-
Clean Cycle Complete,4/14 12:59PM,-
Clean Cycle In Progress,4/14 12:57PM,-
Cat Detected,4/14 12:42PM,-
Clean Cycle Complete,4/14 1:55AM,-
Clean Cycle In Progress,4/14 1:53AM,-
Cat Detected,4/14 1:38AM,-
Clean Cycle Complete,4/13 4:05PM,-
Clean Cycle In Progress,4/13 4:03PM,-
Cat Detected,4/13 4:02PM,-
Clean Cycle Complete,4/13 12:38PM,-
Clean Cycle In Progress,4/13 12:36PM,-
