Activity,Timestamp,Value
Pet Weight Recorded ,8/31 7:51PM,19.5 lbs
Cat Detected,8/31 7:50PM,-
Clean Cycle Complete,8/31 7:49PM,-
Cycle Interrupted,8/31 7:47PM,-
Cat Detected,8/31 7:10PM,-
Clean Cycle Complete,8/31 1:36PM,-
Clean Cycle In Progress,8/31 1:34PM,-
Pet Weight Recorded ,8/31 1:19PM,9.5 lbs
Cat Detected,8/31 1:18PM,-
Clean Cycle Complete,8/31 11:38AM,-
Clean Cycle In Progress,8/31 11:36AM,-
Pet Weight Recorded ,8/31 11:21AM,20.1 lbs
Pet Weight Recorded ,8/31 11:19AM,9.7 lbs
Cat Detected,8/31 11:16AM,-
Clean Cycle Complete,8/31 5:10AM,-
Clean Cycle In Progress,8/31 5:08AM,-
Pet Weight Recorded ,8/31 4:53AM,9.6 lbs
Cat Detected,8/31 4:52AM,-
Clean Cycle Complete,8/31 1:24AM,-
Clean Cycle In Progress,8/31 1:22AM,-
Pet Weight Recorded ,8/31 1:07AM,14.9 lbs
Cat Detected,8/31 1:06AM,-
Clean Cycle Complete,8/30 11:49PM,-
Clean Cycle In Progress,8/30 11:47PM,-
Pet Weight Recorded ,8/30 11:32PM,19.6 lbs
Cat Detected,8/30 11:31PM,-
Clean Cycle Complete,8/30 9:43PM,-
Clean Cycle In Progress,8/30 9:41PM,-
Pet Weight Recorded ,8/30 9:26PM,19.6 lbs
Pet Weight Recorded ,8/30 9:24PM,15.0 lbs
Pet Weight Recorded ,8/30 9:20PM,9.7 lbs
Cat Detected,8/30 9:17PM,-
Clean Cycle Complete,8/30 5:21PM,-
Clean Cycle In Progress,8/30 5:19PM,-
Pet Weight Recorded ,8/30 5:04PM,15.0 lbs
Cat Detected,8/30 5:04PM,-
Clean Cycle Complete,8/30 4:31PM,-
Clean Cycle In Progress,8/30 4:29PM,-
Pet Weight Recorded ,8/30 4:14PM,9.6 lbs
Cat Detected,8/30 4:11PM,-
Clean Cycle Complete,8/30 12:18PM,-
Clean Cycle In Progress,8/30 12:16PM,-
Pet Weight Recorded ,8/30 12:01PM,15.0 lbs
Cat Detected,8/30 12:01PM,-
Clean Cycle Complete,8/30 11:27AM,-
Clean Cycle In Progress,8/30 11:25AM,-
Pet Weight Recorded ,8/30 11:10AM,9.7 lbs
Cat Detected,8/30 11:09AM,-
Clean Cycle Complete,8/30 10:45AM,-
Clean Cycle In Progress,8/30 10:43AM,-
Pet Weight Recorded ,8/30 10:28AM,19.6 lbs
Cat Detected,8/30 10:26AM,-
Clean Cycle Complete,8/30 6:40AM,-
Clean Cycle In Progress,8/30 6:38AM,-
Pet Weight Recorded ,8/30 6:23AM,9.6 lbs
Cat Detected,8/30 6:22AM,-
Clean Cycle Complete,8/30 2:10AM,-
Clean Cycle In Progress,8/30 2:08AM,-
Pet Weight Recorded ,8/30 1:53AM,9.7 lbs
Cat Detected,8/30 1:52AM,-
Clean Cycle Complete,8/30 12:43AM,-
Clean Cycle In Progress,8/30 12:41AM,-
Pet Weight Recorded ,8/30 12:26AM,19.6 lbs
Cat Detected,8/30 12:25AM,-
Clean Cycle Complete,8/29 10:23PM,-
Clean Cycle In Progress,8/29 10:21PM,-
Pet Weight Recorded ,8/29 10:06PM,19.6 lbs
Cat Detected,8/29 10:05PM,-
Clean Cycle Complete,8/29 3:53PM,-
Clean Cycle In Progress,8/29 3:51PM,-
Pet Weight Recorded ,8/29 3:36PM,15.0 lbs
Pet Weight Recorded ,8/29 3:32PM,9.6 lbs
Cat Detected,8/29 3:32PM,-
Clean Cycle Complete,8/29 10:23AM,-
Clean Cycle In Progress,8/29 10:21AM,-
Pet Weight Recorded ,8/29 10:06AM,19.6 lbs
Cat Detected,8/29 10:05AM,-
Clean Cycle Complete,8/29 9:42AM,-
Clean Cycle In Progress,8/29 9:39AM,-
Pet Weight Recorded ,8/29 9:24AM,9.6 lbs
Pet Weight Recorded ,8/29 9:12AM,15.0 lbs
Pet Weight Recorded ,8/29 9:05AM,9.6 lbs
Cat Detected,8/29 9:04AM,-
Clean Cycle Complete,8/29 3:16AM,-
Clean Cycle In Progress,8/29 3:14AM,-
Pet Weight Recorded ,8/29 2:59AM,9.7 lbs
Cat Detected,8/29 2:58AM,-
Clean Cycle Complete,8/28 10:54PM,-
Clean Cycle In Progress,8/28 10:52PM,-
Pet Weight Recorded ,8/28 10:37PM,19.5 lbs
Cat Detected,8/28 10:36PM,-
Clean Cycle Complete,8/28 8:58PM,-
Clean Cycle In Progress,8/28 8:56PM,-
Pet Weight Recorded ,8/28 8:41PM,9.7 lbs
Cat Detected,8/28 8:40PM,-
Clean Cycle Complete,8/28 4:59PM,-
Clean Cycle In Progress,8/28 4:57PM,-
Pet Weight Recorded ,8/28 4:42PM,19.8 lbs
Pet Weight Recorded ,8/28 4:29PM,15.0 lbs
Pet Weight Recorded ,8/28 4:15PM,19.6 lbs
Cat Detected,8/28 4:13PM,-
Clean Cycle Complete,8/28 2:51PM,-
Clean Cycle In Progress,8/28 2:49PM,-
Pet Weight Recorded ,8/28 2:34PM,9.6 lbs
Cat Detected,8/28 2:31PM,-
Clean Cycle Complete,8/28 10:36AM,-
Clean Cycle In Progress,8/28 10:33AM,-
Pet Weight Recorded ,8/28 10:18AM,15.1 lbs
Cat Detected,8/28 10:18AM,-
Clean Cycle Complete,8/28 6:56AM,-
Clean Cycle In Progress,8/28 6:54AM,-
Pet Weight Recorded ,8/28 6:39AM,14.3 lbs
Cat Detected,8/28 6:30AM,-
Clean Cycle Complete,8/28 6:05AM,-
Clean Cycle In Progress,8/28 6:03AM,-
Pet Weight Recorded ,8/28 5:48AM,19.7 lbs
Pet Weight Recorded ,8/28 5:41AM,19.7 lbs
Pet Weight Recorded ,8/28 5:40AM,19.6 lbs
Cat Detected,8/28 5:39AM,-
Clean Cycle Complete,8/28 4:24AM,-
Clean Cycle In Progress,8/28 4:21AM,-
Pet Weight Recorded ,8/28 4:06AM,9.6 lbs
Cat Detected,8/28 4:06AM,-
Clean Cycle Complete,8/27 6:24PM,-
Pet Weight Recorded ,8/27 6:22PM,12.4 lbs
Cycle Interrupted,8/27 6:22PM,-
Clean Cycle In Progress,8/27 6:21PM,-
Pet Weight Recorded ,8/27 6:05PM,9.2 lbs
Cat Detected,8/27 6:03PM,-
Clean Cycle Complete,8/27 5:34PM,-
Clean Cycle In Progress,8/27 5:32PM,-
Cat Detected,8/27 5:17PM,-
Clean Cycle Complete,8/27 12:52PM,-
Clean Cycle In Progress,8/27 12:50PM,-
Cat Detected,8/27 12:35PM,-
Clean Cycle Complete,8/27 11:50AM,-
Clean Cycle In Progress,8/27 11:48AM,-
Pet Weight Recorded ,8/27 11:33AM,9.4 lbs
Cat Detected,8/27 11:31AM,-
Clean Cycle Complete,8/27 10:31AM,-
Clean Cycle In Progress,8/27 10:29AM,-
Pet Weight Recorded ,8/27 10:14AM,19.8 lbs
Pet Weight Recorded ,8/27 10:07AM,19.8 lbs
Pet Weight Recorded ,8/27 10:06AM,19.8 lbs
Cat Detected,8/27 10:05AM,-
Clean Cycle Complete,8/27 5:46AM,-
Cycle Interrupted,8/27 5:46AM,-
Clean Cycle In Progress,8/27 5:44AM,-
Pet Weight Recorded ,8/27 5:28AM,9.7 lbs
Cat Detected,8/27 5:28AM,-
Clean Cycle Complete,8/26 10:26PM,-
Clean Cycle In Progress,8/26 10:24PM,-
Pet Weight Recorded ,8/26 10:09PM,9.7 lbs
Cat Detected,8/26 10:08PM,-
Clean Cycle Complete,8/26 5:43PM,-
Clean Cycle In Progress,8/26 5:41PM,-
Pet Weight Recorded ,8/26 5:26PM,9.6 lbs
Cat Detected,8/26 5:25PM,-
Clean Cycle Complete,8/26 1:18PM,-
Cycle Interrupted,8/26 1:16PM,-
Cycle Interrupted,8/26 1:14PM,-
Clean Cycle In Progress,8/26 1:13PM,-
Pet Weight Recorded ,8/26 12:58PM,9.7 lbs
Cat Detected,8/26 12:55PM,-
Clean Cycle Complete,8/26 12:50PM,-
Clean Cycle In Progress,8/26 12:48PM,-
Cat Detected,8/26 12:33PM,-
Clean Cycle Complete,8/26 9:20AM,-
Clean Cycle In Progress,8/26 9:18AM,-
Pet Weight Recorded ,8/26 9:03AM,19.7 lbs
Pet Weight Recorded ,8/26 8:52AM,14.9 lbs
Cat Detected,8/26 8:33AM,-
Clean Cycle Complete,8/26 5:18AM,-
Cycle Interrupted,8/26 5:17AM,-
Clean Cycle In Progress,8/26 5:16AM,-
Pet Weight Recorded ,8/26 5:01AM,9.6 lbs
Cat Detected,8/26 4:58AM,-
Clean Cycle Complete,8/25 9:49PM,-
Clean Cycle In Progress,8/25 9:47PM,-
Pet Weight Recorded ,8/25 9:32PM,14.8 lbs
Cat Detected,8/25 9:32PM,-
Clean Cycle Complete,8/25 8:28PM,-
Clean Cycle In Progress,8/25 8:26PM,-
Cat Detected,8/25 8:10PM,-
Clean Cycle Complete,8/25 7:43PM,-
Clean Cycle In Progress,8/25 7:41PM,-
Cat Detected,8/25 7:26PM,-
Clean Cycle Complete,8/25 5:58PM,-
Clean Cycle In Progress,8/25 5:55PM,-
Pet Weight Recorded ,8/25 5:38PM,9.5 lbs
Cat Detected,8/25 5:36PM,-
Clean Cycle Complete,8/25 11:09AM,-
Clean Cycle In Progress,8/25 11:07AM,-
Pet Weight Recorded ,8/25 10:52AM,9.7 lbs
Cat Detected,8/25 10:50AM,-
Clean Cycle Complete,8/25 10:34AM,-
Clean Cycle In Progress,8/25 10:32AM,-
Pet Weight Recorded ,8/25 10:17AM,14.9 lbs
Pet Weight Recorded ,8/25 10:09AM,14.9 lbs
Cat Detected,8/25 10:09AM,-
Clean Cycle Complete,8/25 9:28AM,-
Clean Cycle In Progress,8/25 9:26AM,-
Pet Weight Recorded ,8/25 9:11AM,15.1 lbs
Pet Weight Recorded ,8/25 9:10AM,19.7 lbs
Pet Weight Recorded ,8/25 9:01AM,15.2 lbs
Pet Weight Recorded ,8/25 9:00AM,19.6 lbs
Cat Detected,8/25 8:56AM,-
Clean Cycle Complete,8/25 8:22AM,-
Clean Cycle In Progress,8/25 8:20AM,-
Pet Weight Recorded ,8/25 8:05AM,14.9 lbs
Pet Weight Recorded ,8/25 8:04AM,14.9 lbs
Cat Detected,8/25 7:56AM,-
Clean Cycle Complete,8/25 7:00AM,-
Clean Cycle In Progress,8/25 6:58AM,-
Pet Weight Recorded ,8/25 6:43AM,15.0 lbs
Cat Detected,8/25 6:42AM,-
Clean Cycle Complete,8/24 10:33PM,-
Clean Cycle In Progress,8/24 10:31PM,-
Pet Weight Recorded ,8/24 10:16PM,9.7 lbs
Cat Detected,8/24 9:58PM,-
Clean Cycle Complete,8/24 9:12PM,-
Clean Cycle In Progress,8/24 9:10PM,-
Cat Detected,8/24 8:54PM,-
Clean Cycle Complete,8/23 7:33PM,-
Cycle Interrupted,8/23 7:31PM,-
Cycle Interrupted,8/23 7:30PM,-
Clean Cycle In Progress,8/23 7:30PM,-
Pet Weight Recorded ,8/23 7:12PM,9.7 lbs
Cat Detected,8/23 7:10PM,-
Clean Cycle Complete,8/23 5:09AM,-
Clean Cycle In Progress,8/23 5:07AM,-
Pet Weight Recorded ,8/23 4:51AM,7.8 lbs
Pet Weight Recorded ,8/23 4:48AM,9.7 lbs
Cat Detected,8/23 4:48AM,-
Clean Cycle Complete,8/23 12:37AM,-
Cycle Interrupted,8/23 12:35AM,-
Clean Cycle In Progress,8/23 12:35AM,-
Cat Detected,8/23 12:19AM,-
Clean Cycle Complete,8/22 11:41AM,-
Clean Cycle In Progress,8/22 11:39AM,-
Pet Weight Recorded ,8/22 11:24AM,14.9 lbs
Cat Detected,8/22 11:22AM,-
Clean Cycle Complete,8/22 10:48AM,-
Clean Cycle In Progress,8/22 10:46AM,-
Cat Detected,8/22 10:40AM,-
Clean Cycle Complete,8/22 8:52AM,-
Pet Weight Recorded ,8/22 8:52AM,8.8 lbs
