Activity,Timestamp,Value
Clean Cycle Complete,6/30 11:05AM,-
Clean Cycle In Progress,6/30 11:03AM,-
Pet Weight Recorded ,6/30 10:38AM,14.4 lbs
Pet Weight Recorded ,6/30 10:24AM,14.4 lbs
Pet Weight Recorded ,6/30 10:16AM,8.9 lbs
Pet Weight Recorded ,6/30 10:13AM,19.6 lbs
Pet Weight Recorded ,6/30 10:12AM,19.5 lbs
Pet Weight Recorded ,6/30 10:11AM,19.4 lbs
Cat Detected,6/30 10:11AM,-
Clean Cycle Complete,6/30 2:34AM,-
Clean Cycle In Progress,6/30 2:32AM,-
Pet Weight Recorded ,6/30 2:07AM,14.3 lbs
Pet Weight Recorded ,6/30 2:06AM,8.9 lbs
Cat Detected,6/30 2:05AM,-
Clean Cycle Complete,6/30 12:50AM,-
Cycle Interrupted,6/30 12:48AM,-
Cycle Interrupted,6/30 12:47AM,-
Clean Cycle In Progress,6/30 12:47AM,-
Pet Weight Recorded ,6/30 12:21AM,19.5 lbs
Cat Detected,6/30 12:20AM,-
Clean Cycle Complete,6/29 10:40PM,-
Clean Cycle In Progress,6/29 10:38PM,-
Pet Weight Recorded ,6/29 10:13PM,8.8 lbs
Cat Detected,6/29 10:11PM,-
Clean Cycle Complete,6/29 4:20PM,-
Clean Cycle In Progress,6/29 4:18PM,-
Clean Cycle Complete,6/29 4:06PM,-
Cycle Interrupted,6/29 4:05PM,-
Clean Cycle In Progress,6/29 4:03PM,-
Pet Weight Recorded ,6/29 3:38PM,19.4 lbs
Pet Weight Recorded ,6/29 3:35PM,8.8 lbs
Cat Detected,6/29 3:34PM,-
Clean Cycle Complete,6/29 1:50PM,-
Clean Cycle In Progress,6/29 1:47PM,-
Pet Weight Recorded ,6/29 1:22PM,14.4 lbs
Cat Detected,6/29 1:04PM,-
Clean Cycle Complete,6/29 1:02PM,-
Cycle Interrupted,6/29 12:59PM,-
Clean Cycle In Progress,6/29 12:59PM,-
Pet Weight Recorded ,6/29 12:34PM,8.9 lbs
Cat Detected,6/29 12:31PM,-
Clean Cycle Complete,6/29 9:44AM,-
Cycle Interrupted,6/29 9:43AM,-
Clean Cycle In Progress,6/29 9:41AM,-
Pet Weight Recorded ,6/29 9:16AM,19.5 lbs
Cat Detected,6/29 9:15AM,-
Clean Cycle Complete,6/29 8:56AM,-
Clean Cycle In Progress,6/29 8:54AM,-
Pet Weight Recorded ,6/29 8:28AM,19.4 lbs
Pet Weight Recorded ,6/29 8:22AM,14.1 lbs
Cat Detected,6/29 8:20AM,-
Clean Cycle Complete,6/29 7:56AM,-
Pet Weight Recorded ,6/29 7:56AM,14.3 lbs
Cycle Interrupted,6/29 7:55AM,-
Clean Cycle In Progress,6/29 7:53AM,-
Pet Weight Recorded ,6/29 7:15AM,8.9 lbs
Cat Detected,6/29 7:14AM,-
Clean Cycle Complete,6/29 3:35AM,-
Clean Cycle In Progress,6/29 3:33AM,-
Cat Detected,6/29 3:08AM,-
Clean Cycle Complete,6/29 3:07AM,-
Clean Cycle In Progress,6/29 3:05AM,-
Clean Cycle Complete,6/28 8:04AM,-
Cycle Interrupted,6/28 8:03AM,-
Cycle Interrupted,6/28 8:02AM,-
Pet Weight Recorded ,6/28 8:01AM,6.9 lbs
Cycle Interrupted,6/28 8:01AM,-
Clean Cycle In Progress,6/28 8:00AM,-
Pet Weight Recorded ,6/28 7:35AM,14.2 lbs
Pet Weight Recorded ,6/28 7:13AM,14.3 lbs
Pet Weight Recorded ,6/28 7:10AM,9.0 lbs
Cat Detected,6/28 7:09AM,-
Clean Cycle Complete,6/28 1:59AM,-
Cycle Interrupted,6/28 1:56AM,-
Clean Cycle In Progress,6/28 1:56AM,-
Pet Weight Recorded ,6/28 1:31AM,14.6 lbs
Pet Weight Recorded ,6/28 1:30AM,14.6 lbs
Pet Weight Recorded ,6/28 1:12AM,19.7 lbs
Pet Weight Recorded ,6/28 12:36AM,14.4 lbs
Pet Weight Recorded ,6/28 12:35AM,9.1 lbs
Pet Weight Recorded ,6/28 12:17AM,8.3 lbs
Cat Detected,6/28 12:15AM,-
Clean Cycle Complete,6/27 12:46PM,-
Cycle Interrupted,6/27 12:44PM,-
Pet Weight Recorded ,6/27 12:44PM,9.5 lbs
Cycle Interrupted,6/27 12:42PM,-
Pet Weight Recorded ,6/27 12:42PM,9.3 lbs
Cycle Interrupted,6/27 12:40PM,-
Clean Cycle In Progress,6/27 12:39PM,-
Cat Detected,6/27 12:14PM,-
Clean Cycle Complete,6/27 10:36AM,-
Clean Cycle In Progress,6/27 10:34AM,-
Pet Weight Recorded ,6/27 10:09AM,19.8 lbs
Pet Weight Recorded ,6/27 10:07AM,19.8 lbs
Pet Weight Recorded ,6/27 9:45AM,14.3 lbs
Cat Detected,6/27 9:44AM,-
Clean Cycle Complete,6/27 8:12AM,-
Clean Cycle In Progress,6/27 8:10AM,-
Pet Weight Recorded ,6/27 7:45AM,14.4 lbs
Pet Weight Recorded ,6/27 7:15AM,14.3 lbs
Cat Detected,6/27 7:14AM,-
Clean Cycle Complete,6/27 12:48AM,-
Cycle Interrupted,6/27 12:46AM,-
Clean Cycle In Progress,6/27 12:45AM,-
Pet Weight Recorded ,6/27 12:20AM,19.7 lbs
Pet Weight Recorded ,6/27 12:18AM,8.9 lbs
Cat Detected,6/27 12:15AM,-
Clean Cycle Complete,6/26 11:05PM,-
Cycle Interrupted,6/26 11:03PM,-
Clean Cycle In Progress,6/26 11:02PM,-
Pet Weight Recorded ,6/26 10:37PM,19.6 lbs
Cat Detected,6/26 10:36PM,-
Clean Cycle Complete,6/26 10:14PM,-
Pet Weight Recorded ,6/26 10:13PM,14.5 lbs
Cycle Interrupted,6/26 10:12PM,-
Pet Weight Recorded ,6/26 10:12PM,14.4 lbs
Cycle Interrupted,6/26 10:11PM,-
Clean Cycle In Progress,6/26 10:09PM,-
Pet Weight Recorded ,6/26 9:44PM,14.3 lbs
Pet Weight Recorded ,6/26 9:42PM,6.3 lbs
Pet Weight Recorded ,6/26 9:37PM,9.0 lbs
Cat Detected,6/26 9:35PM,-
Clean Cycle Complete,6/26 6:52PM,-
Clean Cycle In Progress,6/26 6:50PM,-
Cat Detected,6/26 6:24PM,-
Clean Cycle Complete,6/26 4:10PM,-
Clean Cycle In Progress,6/26 4:08PM,-
Cat Detected,6/26 3:43PM,-
Clean Cycle Complete,6/26 1:39PM,-
Clean Cycle In Progress,6/26 1:37PM,-
Pet Weight Recorded ,6/26 1:12PM,8.9 lbs
Cat Detected,6/26 1:10PM,-
Clean Cycle Complete,6/26 12:06PM,-
Cycle Interrupted,6/26 12:04PM,-
Pet Weight Recorded ,6/26 12:03PM,7.1 lbs
Cycle Interrupted,6/26 12:03PM,-
Clean Cycle In Progress,6/26 12:02PM,-
Pet Weight Recorded ,6/26 11:37AM,19.7 lbs
Pet Weight Recorded ,6/26 11:21AM,19.6 lbs
Pet Weight Recorded ,6/26 11:16AM,14.3 lbs
Cat Detected,6/26 11:15AM,-
Clean Cycle Complete,6/26 10:37AM,-
Clean Cycle In Progress,6/26 10:35AM,-
Pet Weight Recorded ,6/26 10:10AM,9.0 lbs
Cat Detected,6/26 10:09AM,-
Clean Cycle Complete,6/26 9:17AM,-
Pet Weight Recorded ,6/26 9:17AM,14.3 lbs
Cycle Interrupted,6/26 9:16AM,-
Pet Weight Recorded ,6/26 9:16AM,14.3 lbs
Cycle Interrupted,6/26 9:14AM,-
Clean Cycle In Progress,6/26 9:12AM,-
Pet Weight Recorded ,6/26 8:47AM,14.2 lbs
Pet Weight Recorded ,6/26 8:40AM,19.6 lbs
Pet Weight Recorded ,6/26 8:39AM,19.5 lbs
Cat Detected,6/26 8:38AM,-
Clean Cycle Complete,6/26 7:58AM,-
Clean Cycle In Progress,6/26 7:56AM,-
Pet Weight Recorded ,6/26 7:31AM,14.3 lbs
Cat Detected,6/26 7:30AM,-
Clean Cycle Complete,6/26 1:41AM,-
Clean Cycle In Progress,6/26 1:39AM,-
Pet Weight Recorded ,6/26 1:14AM,8.1 lbs
Pet Weight Recorded ,6/26 12:55AM,14.3 lbs
Cat Detected,6/26 12:53AM,-
Clean Cycle Complete,6/25 11:04PM,-
Clean Cycle In Progress,6/25 11:02PM,-
Pet Weight Recorded ,6/25 10:37PM,9.0 lbs
Pet Weight Recorded ,6/25 10:10PM,19.6 lbs
Pet Weight Recorded ,6/25 9:57PM,9.0 lbs
Cat Detected,6/25 9:56PM,-
Clean Cycle Complete,6/25 6:37PM,-
Pet Weight Recorded ,6/25 6:37PM,14.3 lbs
Cycle Interrupted,6/25 6:36PM,-
Pet Weight Recorded ,6/25 6:36PM,14.3 lbs
Cycle Interrupted,6/25 6:34PM,-
Clean Cycle In Progress,6/25 6:33PM,-
Pet Weight Recorded ,6/25 6:08PM,9.4 lbs
Cat Detected,6/25 6:08PM,-
Clean Cycle Complete,6/25 4:49PM,-
Clean Cycle In Progress,6/25 4:47PM,-
Cat Detected,6/25 4:22PM,-
Clean Cycle Complete,6/25 3:55PM,-
Clean Cycle In Progress,6/25 3:53PM,-
Cat Detected,6/25 3:28PM,-
Clean Cycle Complete,6/25 3:27PM,-
Pet Weight Recorded ,6/25 3:27PM,14.3 lbs
Cycle Interrupted,6/25 3:26PM,-
Pet Weight Recorded ,6/25 3:25PM,14.3 lbs
Cycle Interrupted,6/25 3:24PM,-
Clean Cycle In Progress,6/25 3:23PM,-
Pet Weight Recorded ,6/25 2:57PM,14.3 lbs
Cat Detected,6/25 2:57PM,-
Clean Cycle Complete,6/25 2:09PM,-
Cycle Interrupted,6/25 2:09PM,-
Pet Weight Recorded ,6/25 2:08PM,10.2 lbs
Cycle Interrupted,6/25 2:08PM,-
Cycle Interrupted,6/25 2:06PM,-
Clean Cycle In Progress,6/25 2:05PM,-
Pet Weight Recorded ,6/25 1:40PM,14.5 lbs
Pet Weight Recorded ,6/25 1:30PM,8.9 lbs
Cat Detected,6/25 1:09PM,-
Clean Cycle Complete,6/25 1:09PM,-
Clean Cycle In Progress,6/25 1:07PM,-
Pet Weight Recorded ,6/25 12:41PM,19.6 lbs
Pet Weight Recorded ,6/25 12:40PM,19.5 lbs
Cat Detected,6/25 12:39PM,-
Clean Cycle Complete,6/25 10:48AM,-
Clean Cycle In Progress,6/25 10:45AM,-
Pet Weight Recorded ,6/25 10:16AM,6.9 lbs
Cat Detected,6/25 10:14AM,-
Clean Cycle Complete,6/25 2:14AM,-
Cycle Interrupted,6/25 2:12AM,-
Clean Cycle In Progress,6/25 2:12AM,-
Pet Weight Recorded ,6/25 1:47AM,19.8 lbs
Pet Weight Recorded ,6/25 1:46AM,19.8 lbs
Pet Weight Recorded ,6/25 1:37AM,14.5 lbs
Pet Weight Recorded ,6/25 1:28AM,14.6 lbs
Pet Weight Recorded ,6/25 1:23AM,9.3 lbs
Pet Weight Recorded ,6/25 1:19AM,9.0 lbs
Cat Detected,6/25 1:18AM,-
Clean Cycle Complete,6/25 1:10AM,-
Cycle Interrupted,6/25 1:08AM,-
Clean Cycle In Progress,6/25 1:07AM,-
Pet Weight Recorded ,6/25 12:42AM,14.5 lbs
Cat Detected,6/25 12:40AM,-
Clean Cycle Complete,6/24 1:50PM,-
Clean Cycle In Progress,6/24 1:48PM,-
Pet Weight Recorded ,6/24 1:22PM,8.8 lbs
Cat Detected,6/24 1:20PM,-
Clean Cycle Complete,6/24 11:08AM,-
Clean Cycle In Progress,6/24 11:05AM,-
Pet Weight Recorded ,6/24 10:40AM,14.5 lbs
Pet Weight Recorded ,6/24 10:39AM,14.5 lbs
Pet Weight Recorded ,6/24 10:35AM,5.3 lbs
Pet Weight Recorded ,6/24 10:34AM,19.6 lbs
Pet Weight Recorded ,6/24 10:28AM,9.7 lbs
Cat Detected,6/24 10:27AM,-
Clean Cycle Complete,6/24 9:58AM,-
Clean Cycle In Progress,6/24 9:56AM,-
