Activity,Timestamp,Value
Clean Cycle Complete,10/31 4:28PM,-
Clean Cycle In Progress,10/31 4:25PM,-
Pet Weight Recorded ,10/31 4:10PM,9.1 lbs
Cat Detected,10/31 4:09PM,-
Clean Cycle Complete,10/31 4:04PM,-
Clean Cycle In Progress,10/31 4:02PM,-
Pet Weight Recorded ,10/31 3:47PM,19.6 lbs
Pet Weight Recorded ,10/31 3:46PM,19.3 lbs
Cat Detected,10/31 3:45PM,-
Clean Cycle Complete,10/31 11:56AM,-
Clean Cycle In Progress,10/31 11:54AM,-
Pet Weight Recorded ,10/31 11:39AM,15.6 lbs
Pet Weight Recorded ,10/31 11:30AM,8.9 lbs
Cat Detected,10/31 11:29AM,-
Clean Cycle Complete,10/31 9:45AM,-
Clean Cycle In Progress,10/31 9:43AM,-
Pet Weight Recorded ,10/31 9:27AM,19.8 lbs
Cat Detected,10/31 9:26AM,-
Clean Cycle Complete,10/31 6:30AM,-
Clean Cycle In Progress,10/31 6:28AM,-
Pet Weight Recorded ,10/31 6:13AM,8.7 lbs
Cat Detected,10/31 6:08AM,-
Clean Cycle Complete,10/31 1:43AM,-
Pet Weight Recorded ,10/31 1:42AM,15.4 lbs
Cycle Interrupted,10/31 1:42AM,-
Clean Cycle In Progress,10/31 1:40AM,-
Pet Weight Recorded ,10/31 1:25AM,19.8 lbs
Cat Detected,10/31 1:24AM,-
Clean Cycle Complete,10/30 11:53PM,-
Pet Weight Recorded ,10/30 11:52PM,15.4 lbs
Cycle Interrupted,10/30 11:51PM,-
Clean Cycle In Progress,10/30 11:49PM,-
Pet Weight Recorded ,10/30 11:34PM,15.3 lbs
Pet Weight Recorded ,10/30 11:33PM,15.6 lbs
Cat Detected,10/30 11:31PM,-
Clean Cycle Complete,10/30 9:02PM,-
Clean Cycle In Progress,10/30 9:00PM,-
Pet Weight Recorded ,10/30 8:35PM,9.1 lbs
Cat Detected,10/30 8:31PM,-
Clean Cycle Complete,10/30 3:33PM,-
Clean Cycle In Progress,10/30 3:31PM,-
Clean Cycle Complete,10/30 2:45PM,-
Clean Cycle In Progress,10/30 2:43PM,-
Cat Detected,10/30 2:24PM,-
Cat Detected,10/29 5:19PM,-
Clean Cycle Complete,10/29 4:27PM,-
Clean Cycle In Progress,10/29 4:24PM,-
Pet Weight Recorded ,10/29 4:09PM,9.1 lbs
Cat Detected,10/29 4:06PM,-
Clean Cycle Complete,10/29 9:26AM,-
Clean Cycle In Progress,10/29 9:24AM,-
Pet Weight Recorded ,10/29 9:09AM,9.2 lbs
Pet Weight Recorded ,10/29 9:02AM,19.9 lbs
Pet Weight Recorded ,10/29 8:52AM,19.8 lbs
Pet Weight Recorded ,10/29 8:50AM,15.4 lbs
Cat Detected,10/29 8:48AM,-
Clean Cycle Complete,10/29 6:52AM,-
Clean Cycle In Progress,10/29 6:50AM,-
Pet Weight Recorded ,10/29 6:35AM,8.8 lbs
Cat Detected,10/29 6:33AM,-
Clean Cycle Complete,10/28 10:31PM,-
Clean Cycle In Progress,10/28 10:29PM,-
Pet Weight Recorded ,10/28 10:14PM,15.4 lbs
Pet Weight Recorded ,10/28 9:59PM,19.7 lbs
Cat Detected,10/28 9:58PM,-
Clean Cycle Complete,10/28 8:57PM,-
Clean Cycle In Progress,10/28 8:55PM,-
Cat Detected,10/28 8:40PM,-
Clean Cycle Complete,10/28 8:39PM,-
Clean Cycle In Progress,10/28 8:37PM,-
Pet Weight Recorded ,10/28 8:22PM,8.8 lbs
Cat Detected,10/28 8:20PM,-
Clean Cycle Complete,10/28 1:51PM,-
Clean Cycle In Progress,10/28 1:48PM,-
Pet Weight Recorded ,10/28 1:33PM,15.5 lbs
Cat Detected,10/28 1:31PM,-
Clean Cycle Complete,10/28 1:16PM,-
Clean Cycle In Progress,10/28 1:14PM,-
Pet Weight Recorded ,10/28 12:59PM,8.8 lbs
Cat Detected,10/28 12:55PM,-
Clean Cycle Complete,10/28 10:40AM,-
Pet Weight Recorded ,10/28 10:39AM,15.3 lbs
Cycle Interrupted,10/28 10:39AM,-
Clean Cycle In Progress,10/28 10:37AM,-
Pet Weight Recorded ,10/28 10:22AM,15.5 lbs
Cat Detected,10/28 10:18AM,-
Clean Cycle Complete,10/28 7:36AM,-
Clean Cycle In Progress,10/28 7:33AM,-
Pet Weight Recorded ,10/28 7:18AM,19.7 lbs
Pet Weight Recorded ,10/28 7:13AM,19.8 lbs
Cat Detected,10/28 7:11AM,-
Clean Cycle Complete,10/28 7:10AM,-
Clean Cycle In Progress,10/28 7:08AM,-
Pet Weight Recorded ,10/28 6:53AM,9.0 lbs
Cat Detected,10/28 6:50AM,-
Clean Cycle Complete,10/27 11:02PM,-
Clean Cycle In Progress,10/27 11:00PM,-
Pet Weight Recorded ,10/27 10:45PM,9.1 lbs
Cat Detected,10/27 10:44PM,-
Clean Cycle Complete,10/27 7:16PM,-
Pet Weight Recorded ,10/27 7:15PM,15.2 lbs
Cycle Interrupted,10/27 7:14PM,-
Clean Cycle In Progress,10/27 7:13PM,-
Pet Weight Recorded ,10/27 6:58PM,19.8 lbs
Cat Detected,10/27 6:57PM,-
Clean Cycle Complete,10/27 5:13PM,-
Clean Cycle In Progress,10/27 5:11PM,-
Pet Weight Recorded ,10/27 4:56PM,15.4 lbs
Pet Weight Recorded ,10/27 4:53PM,15.4 lbs
Cat Detected,10/27 4:50PM,-
Clean Cycle Complete,10/27 4:31PM,-
Clean Cycle In Progress,10/27 4:29PM,-
Pet Weight Recorded ,10/27 4:14PM,8.9 lbs
Cat Detected,10/27 4:10PM,-
Clean Cycle Complete,10/27 9:31AM,-
Clean Cycle In Progress,10/27 9:29AM,-
Pet Weight Recorded ,10/27 9:14AM,19.8 lbs
Cat Detected,10/27 9:13AM,-
Clean Cycle Complete,10/27 8:45AM,-
Clean Cycle In Progress,10/27 8:43AM,-
Pet Weight Recorded ,10/27 8:28AM,8.9 lbs
Cat Detected,10/27 8:26AM,-
Clean Cycle Complete,10/27 4:49AM,-
Clean Cycle In Progress,10/27 4:46AM,-
Pet Weight Recorded ,10/27 4:26AM,13.6 lbs
Cat Detected,10/27 4:23AM,-
Clean Cycle In Progress,10/27 12:26AM,-
Cat Detected,10/27 12:11AM,-
Clean Cycle Complete,10/27 12:10AM,-
Clean Cycle In Progress,10/27 12:07AM,-
Cat Detected,10/26 11:52PM,-
Clean Cycle Complete,10/26 10:26PM,-
Cycle Interrupted,10/26 10:25PM,-
Clean Cycle In Progress,10/26 10:24PM,-
Pet Weight Recorded ,10/26 10:09PM,19.6 lbs
Cat Detected,10/26 10:08PM,-
Clean Cycle Complete,10/26 6:00PM,-
Clean Cycle In Progress,10/26 5:58PM,-
Cat Detected,10/26 5:43PM,-
Clean Cycle Complete,10/26 4:39PM,-
Clean Cycle In Progress,10/26 4:37PM,-
Pet Weight Recorded ,10/26 4:22PM,15.6 lbs
Pet Weight Recorded ,10/26 4:11PM,8.9 lbs
Cat Detected,10/26 4:07PM,-
Clean Cycle Complete,10/26 2:03PM,-
Clean Cycle In Progress,10/26 2:01PM,-
Cat Detected,10/25 8:15PM,-
Clean Cycle Complete,10/25 10:57AM,-
Pet Weight Recorded ,10/25 10:55AM,7.6 lbs
Cycle Interrupted,10/25 10:54AM,-
Clean Cycle In Progress,10/25 10:54AM,-
Pet Weight Recorded ,10/25 10:39AM,15.5 lbs
Cat Detected,10/25 10:37AM,-
Clean Cycle Complete,10/25 10:06AM,-
Clean Cycle In Progress,10/25 10:04AM,-
Pet Weight Recorded ,10/25 9:49AM,8.9 lbs
Cat Detected,10/25 9:48AM,-
Clean Cycle Complete,10/25 7:12AM,-
Cycle Interrupted,10/25 7:10AM,-
Clean Cycle In Progress,10/25 7:09AM,-
Pet Weight Recorded ,10/25 6:54AM,9.0 lbs
Cat Detected,10/25 6:53AM,-
Clean Cycle Complete,10/25 1:47AM,-
Clean Cycle In Progress,10/25 1:45AM,-
Pet Weight Recorded ,10/25 1:30AM,19.8 lbs
Pet Weight Recorded ,10/25 1:25AM,19.4 lbs
Cat Detected,10/25 1:24AM,-
Clean Cycle Complete,10/25 12:26AM,-
Clean Cycle In Progress,10/25 12:24AM,-
Pet Weight Recorded ,10/25 12:09AM,15.3 lbs
Cat Detected,10/25 12:07AM,-
Clean Cycle Complete,10/24 11:05PM,-
Clean Cycle In Progress,10/24 11:03PM,-
Pet Weight Recorded ,10/24 10:48PM,15.4 lbs
Cat Detected,10/24 10:46PM,-
Clean Cycle Complete,10/24 10:26PM,-
Clean Cycle In Progress,10/24 10:24PM,-
Cat Detected,10/24 10:07PM,-
Clean Cycle Complete,10/24 6:55PM,-
Clean Cycle In Progress,10/24 6:53PM,-
Pet Weight Recorded ,10/24 6:38PM,15.6 lbs
Pet Weight Recorded ,10/24 6:29PM,9.1 lbs
Cat Detected,10/24 6:27PM,-
Clean Cycle Complete,10/24 10:33AM,-
