Activity,Timestamp,Value
Clean Cycle Complete,9/30 1:22PM,-
Clean Cycle In Progress,9/30 1:20PM,-
Pet Weight Recorded ,9/30 1:04PM,9.5 lbs
Cat Detected,9/30 1:01PM,-
Clean Cycle Complete,9/30 10:45AM,-
Cycle Interrupted,9/30 10:43AM,-
Clean Cycle In Progress,9/30 10:43AM,-
Pet Weight Recorded ,9/30 10:28AM,15.3 lbs
Cat Detected,9/30 10:26AM,-
Clean Cycle Complete,9/30 10:25AM,-
Clean Cycle In Progress,9/30 10:23AM,-
Pet Weight Recorded ,9/30 10:08AM,19.5 lbs
Pet Weight Recorded ,9/30 10:07AM,19.4 lbs
Cat Detected,9/30 10:06AM,-
Clean Cycle Complete,9/30 8:54AM,-
Clean Cycle In Progress,9/30 8:52AM,-
Pet Weight Recorded ,9/30 8:37AM,15.5 lbs
Cat Detected,9/30 8:35AM,-
Clean Cycle Complete,9/30 8:19AM,-
Pet Weight Recorded ,9/30 8:19AM,6.1 lbs
Cycle Interrupted,9/30 8:18AM,-
Clean Cycle In Progress,9/30 8:16AM,-
Cat Detected,9/30 8:00AM,-
Clean Cycle Complete,9/30 5:09AM,-
Clean Cycle In Progress,9/30 5:07AM,-
Pet Weight Recorded ,9/30 4:52AM,15.4 lbs
Pet Weight Recorded ,9/30 4:51AM,9.2 lbs
Cat Detected,9/30 4:45AM,-
Clean Cycle Complete,9/29 9:54PM,-
Pet Weight Recorded ,9/29 9:54PM,15.4 lbs
Cycle Interrupted,9/29 9:53PM,-
Clean Cycle In Progress,9/29 9:52PM,-
Pet Weight Recorded ,9/29 9:36PM,15.4 lbs
Cat Detected,9/29 9:34PM,-
Clean Cycle Complete,9/29 9:22PM,-
Clean Cycle In Progress,9/29 9:20PM,-
Pet Weight Recorded ,9/29 9:05PM,9.3 lbs
Cat Detected,9/29 9:04PM,-
Clean Cycle Complete,9/29 1:07PM,-
Clean Cycle In Progress,9/29 1:05PM,-
Pet Weight Recorded ,9/29 12:50PM,9.2 lbs
Cat Detected,9/29 12:48PM,-
Clean Cycle Complete,9/29 12:04PM,-
Clean Cycle In Progress,9/29 12:02PM,-
Cat Detected,9/29 11:46AM,-
Clean Cycle Complete,9/29 11:32AM,-
Clean Cycle In Progress,9/29 11:30AM,-
Pet Weight Recorded ,9/29 11:15AM,9.3 lbs
Cat Detected,9/29 11:13AM,-
Clean Cycle Complete,9/29 10:57AM,-
Clean Cycle In Progress,9/29 10:55AM,-
Pet Weight Recorded ,9/29 10:40AM,9.1 lbs
Cat Detected,9/29 10:39AM,-
Clean Cycle Complete,9/29 10:24AM,-
Clean Cycle In Progress,9/29 10:22AM,-
Pet Weight Recorded ,9/29 10:07AM,19.0 lbs
Cat Detected,9/29 10:06AM,-
Clean Cycle Complete,9/29 9:54AM,-
Clean Cycle In Progress,9/29 9:52AM,-
Pet Weight Recorded ,9/29 9:37AM,15.3 lbs
Cat Detected,9/29 9:35AM,-
Clean Cycle Complete,9/29 9:09AM,-
Clean Cycle In Progress,9/29 9:07AM,-
Pet Weight Recorded ,9/29 8:52AM,19.5 lbs
Pet Weight Recorded ,9/29 8:51AM,19.3 lbs
Cat Detected,9/29 8:50AM,-
Clean Cycle Complete,9/29 7:49AM,-
Clean Cycle In Progress,9/29 7:47AM,-
Pet Weight Recorded ,9/29 7:32AM,9.2 lbs
Cat Detected,9/29 7:31AM,-
Clean Cycle Complete,9/29 2:34AM,-
Clean Cycle In Progress,9/29 2:32AM,-
Pet Weight Recorded ,9/29 2:16AM,9.3 lbs
Cat Detected,9/29 2:16AM,-
Clean Cycle Complete,9/28 10:36PM,-
Clean Cycle In Progress,9/28 10:34PM,-
Pet Weight Recorded ,9/28 10:19PM,9.3 lbs
Cat Detected,9/28 10:18PM,-
Clean Cycle Complete,9/28 8:49PM,-
Pet Weight Recorded ,9/28 8:48PM,15.1 lbs
Cycle Interrupted,9/28 8:47PM,-
Clean Cycle In Progress,9/28 8:46PM,-
Pet Weight Recorded ,9/28 8:31PM,9.2 lbs
Cat Detected,9/28 8:30PM,-
Clean Cycle Complete,9/28 8:01PM,-
Clean Cycle In Progress,9/28 7:59PM,-
Pet Weight Recorded ,9/28 7:44PM,15.2 lbs
Cat Detected,9/28 7:42PM,-
Clean Cycle Complete,9/28 3:33PM,-
Clean Cycle In Progress,9/28 3:31PM,-
Pet Weight Recorded ,9/28 3:16PM,9.3 lbs
Cat Detected,9/28 3:15PM,-
Clean Cycle Complete,9/28 12:04PM,-
Clean Cycle In Progress,9/28 12:02PM,-
Pet Weight Recorded ,9/28 11:47AM,15.4 lbs
Pet Weight Recorded ,9/28 11:37AM,9.3 lbs
Cat Detected,9/28 11:34AM,-
Clean Cycle Complete,9/28 7:31AM,-
Clean Cycle In Progress,9/28 7:29AM,-
Pet Weight Recorded ,9/28 7:14AM,9.4 lbs
Cat Detected,9/28 7:13AM,-
Clean Cycle Complete,9/28 5:31AM,-
Clean Cycle In Progress,9/28 5:29AM,-
Cat Detected,9/28 5:13AM,-
Clean Cycle Complete,9/28 12:46AM,-
Clean Cycle In Progress,9/28 12:44AM,-
Cat Detected,9/28 12:28AM,-
Clean Cycle Complete,9/28 12:28AM,-
Clean Cycle In Progress,9/28 12:25AM,-
Pet Weight Recorded ,9/28 12:10AM,19.3 lbs
Pet Weight Recorded ,9/28 12:09AM,19.1 lbs
Cat Detected,9/28 12:05AM,-
Clean Cycle Complete,9/27 11:13PM,-
Clean Cycle In Progress,9/27 11:11PM,-
Pet Weight Recorded ,9/27 10:56PM,15.3 lbs
Cat Detected,9/27 10:55PM,-
Clean Cycle Complete,9/27 10:42PM,-
Clean Cycle In Progress,9/27 10:40PM,-
Pet Weight Recorded ,9/27 10:25PM,9.3 lbs
Cat Detected,9/27 10:23PM,-
Clean Cycle Complete,9/27 9:03PM,-
Clean Cycle In Progress,9/27 9:01PM,-
Pet Weight Recorded ,9/27 8:46PM,15.4 lbs
Cat Detected,9/27 8:44PM,-
Clean Cycle Complete,9/27 8:01PM,-
Cycle Interrupted,9/27 7:59PM,-
Clean Cycle In Progress,9/27 7:58PM,-
Pet Weight Recorded ,9/27 7:43PM,9.3 lbs
Cat Detected,9/27 7:40PM,-
Clean Cycle Complete,9/27 11:42AM,-
Clean Cycle In Progress,9/27 11:40AM,-
Pet Weight Recorded ,9/27 11:25AM,9.4 lbs
Cat Detected,9/27 11:23AM,-
Clean Cycle Complete,9/27 11:00AM,-
Cycle Interrupted,9/27 10:59AM,-
Clean Cycle In Progress,9/27 10:58AM,-
Pet Weight Recorded ,9/27 10:39AM,14.9 lbs
Cat Detected,9/27 10:36AM,-
Clean Cycle Complete,9/27 10:30AM,-
Clean Cycle In Progress,9/27 10:28AM,-
Pet Weight Recorded ,9/27 10:13AM,19.4 lbs
Pet Weight Recorded ,9/27 10:12AM,19.3 lbs
Pet Weight Recorded ,9/27 9:54AM,9.3 lbs
Cat Detected,9/27 9:53AM,-
Clean Cycle Complete,9/27 12:30AM,-
Pet Weight Recorded ,9/27 12:29AM,15.3 lbs
Cycle Interrupted,9/27 12:29AM,-
Clean Cycle In Progress,9/27 12:27AM,-
Pet Weight Recorded ,9/27 12:11AM,12.1 lbs
Cat Detected,9/27 12:11AM,-
Clean Cycle Complete,9/27 12:10AM,-
Clean Cycle In Progress,9/27 12:08AM,-
Pet Weight Recorded ,9/26 11:53PM,9.3 lbs
Cat Detected,9/26 11:52PM,-
Clean Cycle Complete,9/26 11:50PM,-
Clean Cycle In Progress,9/26 11:47PM,-
Pet Weight Recorded ,9/26 11:32PM,15.2 lbs
Cat Detected,9/26 11:31PM,-
Clean Cycle Complete,9/26 11:01PM,-
Clean Cycle In Progress,9/26 10:58PM,-
Pet Weight Recorded ,9/26 10:43PM,15.2 lbs
Cat Detected,9/26 10:41PM,-
Clean Cycle Complete,9/26 7:43PM,-
Clean Cycle In Progress,9/26 7:41PM,-
Pet Weight Recorded ,9/26 7:26PM,9.3 lbs
Cat Detected,9/26 7:25PM,-
Clean Cycle Complete,9/26 4:00PM,-
Clean Cycle In Progress,9/26 3:58PM,-
Pet Weight Recorded ,9/26 3:43PM,9.2 lbs
Cat Detected,9/26 3:36PM,-
Clean Cycle Complete,9/26 11:16AM,-
Clean Cycle In Progress,9/26 11:14AM,-
Pet Weight Recorded ,9/26 10:59AM,4.5 lbs
Pet Weight Recorded ,9/26 10:56AM,9.2 lbs
Cat Detected,9/26 10:53AM,-
Clean Cycle Complete,9/26 10:38AM,-
Cycle Interrupted,9/26 10:35AM,-
Clean Cycle In Progress,9/26 10:35AM,-
Pet Weight Recorded ,9/26 10:17AM,4.4 lbs
Cat Detected,9/26 10:16AM,-
Clean Cycle Complete,9/26 7:57AM,-
Cycle Interrupted,9/26 7:55AM,-
Clean Cycle In Progress,9/26 7:54AM,-
Pet Weight Recorded ,9/26 7:39AM,19.5 lbs
Pet Weight Recorded ,9/26 7:38AM,19.4 lbs
Cat Detected,9/26 7:36AM,-
Clean Cycle Complete,9/26 7:17AM,-
Clean Cycle In Progress,9/26 7:15AM,-
Pet Weight Recorded ,9/26 6:55AM,12.0 lbs
Cat Detected,9/26 6:53AM,-
Clean Cycle Complete,9/26 6:25AM,-
Clean Cycle In Progress,9/26 6:22AM,-
Pet Weight Recorded ,9/26 6:07AM,15.3 lbs
Cat Detected,9/26 6:06AM,-
Clean Cycle Complete,9/26 4:21AM,-
Clean Cycle In Progress,9/26 4:19AM,-
Pet Weight Recorded ,9/26 4:04AM,9.3 lbs
